P,K,C,val_acc,delta_sota
8,4000,0.005,0.768,0.00019999999999997797
8,4000,0.01,0.7638,-0.0040000000000000036
8,4000,0.02,0.7582,-0.009600000000000053
8,4000,0.03,0.752,-0.015800000000000036
8,6000,0.003,0.775,0.007199999999999984
8,6000,0.005,0.7654,-0.0024000000000000687
8,6000,0.01,0.7586,-0.009199999999999986
8,6000,0.02,0.75,-0.017800000000000038
8,6000,0.03,0.7446,-0.0232
8,8000,0.003,0.7502,-0.01760000000000006
8,8000,0.005,0.7416,-0.0262
8,8000,0.01,0.7328,-0.03500000000000003
8,8000,0.02,0.7258,-0.04200000000000004
8,8000,0.03,0.7254,-0.04239999999999999
